name,country,follower_count,products,shopid,ctime,rating_normal,rating_bad,rating_good,item_count,rating_star,shop_location,response_time,response_rate
NULA FASHION.vn,VN,907,754,801646253,1655996110,0,1,39,754,4.875,Quốc Tế,16645.0,80
August25,VN,1099,224,30468432,1502454590,9,4,422,224,4.869976,TP. Hồ Chí Minh,1463.0,55
1HOT_SHOP,VN,1552,105,334608014,1604850250,57,73,1031,105,4.563764,TP. Hồ Chí Minh,11742.0,68
H&N Fashion Shop,VN,1844,43,127206116,1550471533,37,8,1687,43,4.901324,TP. Hồ Chí Minh,4546.0,94
khogiaydepnam99,VN,674,48,128720436,1550930642,133,123,1520,48,4.436818,Hải Dương,14708.0,86
Tiệm vintage26,VN,522,88,642590722,1641030516,2,0,33,88,4.828571,Đắk Nông,9675.0,83
Thời Trang Bivita,VN,408,71,495119238,1626980149,106,46,583,71,4.30674,Nam Định,15890.0,41
Blueth268,VN,243,13,840327737,1660316641,0,0,81,13,5.0,Hà Nội,2677.0,93
Siibe thời trang nam cao cấp,VN,7189,188,142952468,1556427892,13,4,1021,188,4.923738,TP. Hồ Chí Minh,3002.0,99
NHÀ CÓ ÔNG BÀ,VN,1413,54,605358817,1638019523,7,1,316,54,4.902208,Hà Nội,4181.0,96
RAYMAN,VN,1298,132,865704034,1663392312,0,0,332,132,4.996865,TP. Hồ Chí Minh,7552.0,99
Three Bearss,VN,1617,248,576742513,1635584104,8,4,115,248,4.724409,Quốc Tế,9480.0,96
THỜI TRANG NAM Winkystore,VN,1366,27,207962048,1575948105,30,12,668,27,4.746799,Đắk Lắk,4600.0,95
TAKA THỜI TRANG NAM,VN,27296,418,296291045,1597316479,72,50,2026,418,4.725,TP. Hồ Chí Minh,7771.0,77
BICO STUDIO,VN,4001,166,738058141,1648996112,53,38,1112,166,4.727429,Đắk Nông,8081.0,86
HuyKenShop,VN,9334,398,159946767,1562159326,264,169,3439,398,4.51524,TP. Hồ Chí Minh,9436.0,88
C.O.C House,VN,7799,82,229471578,1582255436,17,4,1637,82,4.936039,TP. Hồ Chí Minh,6538.0,87
1994Since,VN,6536,113,86347764,1535304802,95,28,1747,113,4.723086,Nam Định,7706.0,91
TodayisSunday,VN,586,6,882962619,1665704971,0,0,6,6,5.0,Hà Nội,3206.0,18
Boogie shop2,VN,4098,225,503000754,1627984691,23,18,602,225,4.739617,Quốc Tế,5812.0,85
LeemunShop,VN,2833,111,283394073,1594291276,17,6,197,111,4.654545,Hà Nội,731.0,90
Dream Mod.vn,VN,1277,189,374919397,1610956034,20,10,1202,189,4.884774,Quốc Tế,16705.0,81
Daisy Store 1998,VN,6004,60,422511315,1618309215,72,25,1008,60,4.659066,Hà Nội,6848.0,84
