itemid,shopid,name,stock,ctime,sold,historical_sold,brand,catid,price,price_min,price_max,tier_variations
20839272847,15603624,Áo Khoác Dạ Tweed Dáng Dài Xanh Ngọc Cúc Vàng(ảnh và video shop quay),655,1661589281,4,4,,100017,43500000000,43500000000,43500000000,"[{'name': 'Màu sắc', 'options': ['Áo khoác'], 'images': None, 'properties': [], 'type': 0}, {'name': 'Kích cỡ', 'options': ['S 40-47kg', 'M 48-55kg', 'L 56-62kg'], 'images': None, 'properties': [], 'type': 0}]"
15592475114,15603624,Áo Khoác Dạ Tweed Thêu Lấp Lánh Tay Dài 2 Hàng Cúc Vàng(ảnh và video shop quay),883,1662630338,2,2,,100017,38500000000,38500000000,38500000000,"[{'name': 'Màu sắc', 'options': ['Trắng be'], 'images': None, 'properties': [], 'type': 0}, {'name': 'Kích cỡ', 'options': ['S', 'M', 'L', 'XS'], 'images': None, 'properties': [], 'type': 0}]"
19051008954,15603624,Áo Khoác Dạ Tweed Khuy Vàng Kẻ Ngang(video shop quay),1762,1664521124,0,0,,100017,31000000000,31000000000,31000000000,"[{'name': 'Màu sắc', 'options': ['Trắng', 'Đen'], 'images': ['91f4876d98531938c5efdbccdc328a46', 'sg-11134201-22090-07s4r3sfd4hv53'], 'properties': [], 'type': 0}, {'name': 'Kích cỡ', 'options': ['S 40-47kg', 'M 48-55kg', 'L 56-62kg', 'XL 63-67kg'], 'images': None, 'properties': [], 'type': 0}]"
21651011809,15603624,(gom sale) Áo Khoác Dạ Tweed Đen Viền Trắng Phong Cách Tiểu Thư(ảnh thật),883,1664521884,1,1,,100017,22000000000,22000000000,22000000000,"[{'name': 'Màu sắc', 'options': ['Đen'], 'images': None, 'properties': [], 'type': 0}, {'name': 'Kích cỡ', 'options': ['S 40-47kg', 'M 48-55kg', 'L 56-62kg', 'XL 63-65kg'], 'images': None, 'properties': [], 'type': 0}]"
20452261639,15603624,Áo Khoác Nhung Phối Cổ Dạ Tweed Dáng Vừa(ảnh thật),659,1665023489,1,1,,100017,28500000000,28500000000,28500000000,"[{'name': 'Màu sắc', 'options': ['Đen trắng'], 'images': None, 'properties': [], 'type': 0}, {'name': 'Kích cỡ', 'options': ['S', 'M', 'L'], 'images': None, 'properties': [], 'type': 0}]"
17885172065,15603624,Áo Khoác Dạ Tweed Xanh Ngọc Tay Dài Tua Rua(ảnh thật),884,1663141272,0,0,,100017,38500000000,38500000000,38500000000,"[{'name': 'Màu sắc', 'options': ['Xanh'], 'images': None, 'properties': [], 'type': 0}, {'name': 'Kích cỡ', 'options': ['S dưới 50kg', 'M 51-57kg', 'L 58-65kg', 'XL 66-72kg'], 'images': None, 'properties': [], 'type': 0}]"
19945543212,15603624,Áo khoác Dạ Tweed Nâu Be Cúc Vàng Dáng Vừa Cho Nữ,663,1663143905,0,0,,100017,35500000000,35500000000,35500000000,"[{'name': 'Màu sắc', 'options': ['Nâu'], 'images': None, 'properties': [], 'type': 0}, {'name': 'Kích cỡ', 'options': ['S', 'M', 'L'], 'images': None, 'properties': [], 'type': 0}]"
15091619417,15603624,Áo Khoác Kaki Trench Coat Dáng Ngắn Tay Bo,1097,1661180382,5,6,,100017,39500000000,39500000000,39500000000,"[{'name': 'Màu sắc', 'options': ['Nâu be'], 'images': None, 'properties': [], 'type': 0}, {'name': 'Kích cỡ', 'options': ['S 50-60kg', 'M 60-67kg', 'L 67-74kg', 'XL 75-82kg', 'XS dưới 50kg'], 'images': None, 'properties': [], 'type': 0}]"
20248050219,15603624,Áo Khoác Cardigan Len Lông Tiểu Thư Trắng Viền Đen(ảnh và video shop quay),882,1663749263,1,1,,100017,31500000000,31500000000,31500000000,"[{'name': 'Màu sắc', 'options': ['Trắng'], 'images': None, 'properties': [], 'type': 0}, {'name': 'Kích cỡ', 'options': ['S', 'M', 'L', 'XL'], 'images': None, 'properties': [], 'type': 0}]"
21945568221,15603624,Áo Khoác Dạ Tweed Tay Dài Dáng Rộng(ảnh thật),883,1663147765,1,1,,100017,33000000000,33000000000,33000000000,"[{'name': 'Màu sắc', 'options': ['Xanh'], 'images': None, 'properties': [], 'type': 0}, {'name': 'Kích cỡ', 'options': ['S', 'M', 'L', 'XL'], 'images': None, 'properties': [], 'type': 0}]"
